Type, Name, Category, URL, File
apt,snapd,System,null,null
apt,git,Dev,null,null
apt,wget,Util,null,null
apt,tmux,Util,null,null
apt,zip,Util,null,null
apt,unzip,Util,null,null
snap,curl,Util,null,null
snap,spotify,Music,null,null
snap,postman,Dev,null,null
snap,discord,Chat,null,null
snap,dbeaver-ce,DB,null,null
snap,flameshot,Util,null,null
deb,google-chrome,Util,https://dl.google.com/linux/direct/google-chrome-stable_current_amd64.deb,google-chrome-stable_current_amd64.deb
sh,asdf,Dev,install_asdf.sh,null
sh,vim,Util,install_vim.sh,null
sh,alias,System,install_alias.sh,null
